Journey Step,Big Job (JTBD),Canvas Phase (A),Canvas Steps,Little Jobs,Micro Jobs,Key Pain Points (JTBD),Canvas Opportunities (O1-O10),JTBD Opportunities (from CSV),Cross-check Notes
"1. Plan","Plan the best approach to accept payments in-store in new markets according to my budget","1 · Exploration","1.a Preparation; 1.b Account Setup & Decision","Find the best payment provider; Sign the contract; Scope the pilot plan; Scope the rollout plan; Establish an optimal account structure; Decide on payment methods per country; Decide on payout; Evaluate shopper journey; Define payment device needs; Decide on device management; Decide on network setup; Decide on reconciliation & reporting; Ensure day-to-day operation is supported","Research provider offerings; benchmark competitors; evaluate pros/cons; schedule demo calls; Get internal buy-in; negotiate and agree contract terms; Decide pilot/rollout dates and stores; Define merchant account structure, account holders, store IDs, naming conventions; Check payment method availability and features per country; Understand payout process; decide scheduled/API-driven payout, express payouts, multi-currency, funds transfer; List shopper friction points; find features catering shopper needs; Define number of devices per store; select terminal models; decide features; API integration option; Understand device management on platform and via API; Decide local or cloud integration; Define terminal shipping locations; decide firmware update strategy; TIS/TRS services","None captured on board","O1 (Flexible configuration scoping)","Account structure creation (Autonomy); Firmware update strategy (Frustration); TIS, TRS for platform merchants (Innovation)","Canvas only maps O1 here. JTBD has richer planning detail (13 little jobs). Firmware strategy and TIS/TRS decisions happen at planning but are not reflected in canvas."
"2. Validate / Test","Validate the planned POS solution to see if it fulfills my business needs","2 · Test & Integration","2.a Initial Ordering; 2.b Test Terminal Delivery; 2.c Test Configuration; 2.d Testing","Create account structure (test); Order and set up test devices; Implement integration; Test payment flow; Test payout; Test reconciliation","Create test merchant account and stores; set up payment methods; set up user access; Order test devices; add to cart; add shipping address; track shipping; receive; hardware and security inspection; assign terminals; board terminals; configure settings; configure payment features; upload apps/certificates; schedule deployment; Implement basic integration (PaymentRequest, ReversalRequest, AbortRequest, PaymentResponse, TransactionStatusRequest); implement advanced integration by vertical; implement operational integration; generate API key; create API credential; Test transactions (pay, cancel, refund); test payment methods; test payment features; fix issues; Add payout account; set up payout schedule and model; set payout speed; Check payments list; download report","API credentials management not straightforward; Not all terminals available at all times / terminal shortage; Merchants don't know when terminals will be delivered; Hundreds of possible settings - high learning curve; Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API; Merchants unsure how to configure and afraid of making mistakes; Impact of reboots and maintenance calls is unclear; No overview of all settings or overrides; Technical complexity means merchants need a lot of help from Adyen","O3 (Settings transparency); O7 (API naming consistency); O10 (Terminal action scheduling)","Account structure creation (Autonomy); Payment flow testing (Autonomy); API integration (Frustration); Terminal settings (Frustration + Autonomy, XL); IPP user access control (Frustration); Test to Live migration (Innovation + Autonomy)","Strong alignment. JTBD has 9 pain points here that validate O3 (settings) and O7 (API). Canvas misses payout/reconciliation testing steps. JTBD CSV adds Terminal settings (XL) and IPP user access control as key opportunities not in canvas."
"3. Scale / Go Live & Rollout","Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day","3 · Migration to LIVE","3.a Ordering & Delivery; 3.b Terminal Delivery; 3.c Initial Configuration ★","Ensure smooth transition from test to live; Create account structure (live); Order and set up live devices; Run network & connectivity test in pilot store; Test payment flow live; Test payout live; Test reconciliation live; Set up firmware update strategy; Roll out to all stores","Create live merchant account and stores; set up payment methods; set up user access; Order live devices; receive, inspect and assign; board and configure; configure payment features; upload apps/certificates; schedule deployment; Test connection with Adyen platform; test POS system connection; test cellular connection; Test transactions; test payment methods and features by vertical; fix issues; Add payout account; set up payout schedule and model; set payout speed; Check payments list; set up/download reconciliation reports","None captured on board","O1 (Config scoping); O2 (Scalable deployment); O3 (Settings transparency); O7 (API naming); O10 (Action scheduling) — ★ HIGHEST LEVERAGE (5 opps converge at 3.c)","Store creation (Autonomy, M); Test to Live migration (Innovation + Autonomy)","Canvas identifies this as highest leverage moment (3.c). JTBD has no pain points captured here — GAP: real-world friction at go-live likely under-documented. JTBD CSV opportunities are sparse vs. the 5 canvas opps converging."
"4. Secure every possible in-store sale","Secure every possible in-store sale","4 · BAU / Troubleshooting (partial)","4.a Routine Configuration; 4.b First Troubleshooting","Set up payment features to allow more transactions (tipping, offline payments); Ensure payment devices are well distributed across stores; Prevent fraud and security flaws via POS (e.g. unreferenced refunds)","Define which countries and stores have the need; configure settings for selected terminals; Analyze device performance; download terminal list to react; order more devices if needed; return unnecessary devices; redistribute devices to stores with lower transaction volumes; Set up passcodes; define access to menus on the terminal","Lack of visibility into terminal failure rates makes forecasting harder; Lack of visibility in available terminal stock (e.g. P400) complicates ordering; No direct Adyen point of contact with IPP expertise slows ordering; Lack of visibility in logistics creates manual overhead; No incentive to recollect inactive terminals from churned sub-merchants; Redistributing terminals not actively supported by Adyen; Resetting terminals to factory settings is not intuitive; Refurbishment not part of Adyen offering","O2 (Scalable deployment); O3 (Settings transparency); O6 (Partner-aware configuration); O7 (API naming); O10 (Action scheduling)","Terminal returns / order (Autonomy, M); Terminal analysis (Frustration)","JTBD has 8 pain points focused on logistics/visibility. Canvas maps O6 (Partner-aware config) which is not reflected in JTBD. Canvas step 4.b is marked as where the 15% support-reduction target lives. JTBD CSV Terminal returns/order and Terminal analysis are well-aligned."
"5. Ramp up","Ramp up","— Not mapped in canvas —","—","Open new stores (existing legal entity); Scale in a new market (requires a different legal entity)","Not detailed on board","None captured on board","— None —","POS solution scaling (Innovation)","GAP: Entire step is absent from canvas Journey A. No canvas steps, no opportunity mapping. This is the least detailed step in both sources — needs research."
"6. Increase shopper retention","Increase shopper retention with the best payment experience","— Not mapped in canvas —","—","Increase customer loyalty; Support shoppers with their queries about payments","Ensure devices support seasonal/local campaign promotions; ensure devices can run shopper loyalty programs; support localization; provide personalized experience; Ensure shoppers get their refund if requested; fulfill shopper needs on missing payment services (e.g. Apple value-added services)","Customization term has no single meaning, causing confusion across teams; Displaying various brands confuses sub-merchants about who to contact; Platforms see lack of customization as a missed branding and marketing opportunity","— None —","Increase customer loyalty (Innovation, L); Increase shopper personalized experience (Innovation, L)","GAP: No canvas mapping at all. 3 pain points about customization/branding confusion exist in JTBD but have no canvas opportunity counterpart. This is a strategic gap — shopper-facing value is not represented in the device journey."
"7. Streamline operations","Streamline operational work in stores to reduce costs","4 · BAU / Troubleshooting (partial)","4.a Routine Configuration (shared with Step 4)","Install Android apps/certificates on terminals; Migrate to managing devices through API; Be aware of any anomalies (e.g. drop in transactions or volume)","Get access to the specific role; upload apps and certificates; schedule deployment; train staff how to use it","None captured on board","O2 (Scalable deployment); O3 (Settings transparency); O6 (Partner config); O7 (API naming) — via shared canvas steps","Android app flow (Innovation, XL); Awareness of anomalies (Innovation + Frustration, XL)","Canvas Phase 4 partially covers this. Android app flow (XL) and Awareness of anomalies (XL) are major JTBD opportunities not directly represented in canvas O1-O10. The canvas O9 (Proactive monitoring) and O5 (Device customization) may relate but are not mapped here."
"8. Stay competitive","Stay competitive in payment experience with the most innovative solutions","— Not mapped in canvas —","—","Be aware of the newest features; Implement new features quickly and safely; Support shoppers with the latest payment technology; Request Adyen new features, payment methods, technologies; Ensure devices get new firmware when needed","Access information about latest technologies and features; Benefit from Adyen's newest features (tipping, digital receipts, tax-free refund); Implement latest technology to payment stack; implement new relevant features; Communicate internally about new implementation; train relevant employees; Choose between manual/automatic firmware updates; be in control of when updates happen and on which terminals","Merchants not aware of all new features Adyen offers; Hard to communicate a growing feature set; Merchants afraid firmware updates will cause malfunctions","— None —","Get latest, relevant features/updates (Innovation, L); Firmware update strategy (Frustration)","GAP: 5 little jobs and 3 pain points with no canvas mapping. Firmware fears and feature awareness are documented pain points with no canvas opportunity. This step is important for long-term retention but falls outside the device config journey focus of the canvas."
"9. Ensure fleet is always operational","Ensure my fleet is always operational","4 · BAU / Troubleshooting + 5 · Terminal Replacements","4.b First Troubleshooting; 5.a Malfunction & Replacement Ordering; 5.b Setting Up Replacements; 5.c FM Configuration; 5.d Return Faulty Terminals","Be aware of any issues; Evaluate the severity of the issue; Investigate the issue; Resolve all issues that compromise shoppers' payment experience; Have broken devices replaced; Ensure the same issues won't happen again","Check last activity and assignment status; see notifications; Get immediate support when shoppers are blocked; figure out whether issue is hardware or software; access device details; determine if terminals should be replaced; Troubleshoot functionalities that don't work; troubleshoot misconfiguration; troubleshoot hardware issues (connection, card reader, keypad, NFC); Contact Adyen Support / AM / Integrators / own company support; reach out to correct people; Document cause and resolution of issues","Merchants not autonomous - rely on support and commercial teams; No proactive way to discover what is going wrong; No immediate support channel for emergencies when shoppers are blocked; Troubleshooting manually done by platforms and time-consuming; Lack of quick support and Adyen expertise when terminal is defective; No access to terminal logs, leading to unnecessary replacements; Insufficient communication from Adyen about recurring problems; Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs; Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming; Accessory replacement not included in TRS - extra costs for platforms","O2 (Scalable deployment); O3 (Settings transparency); O4 (Submerchant onboarding); O7 (API naming); O10 (Action scheduling)","Awareness of POS payment issues (Innovation + Frustration, XL); Emergency support (Frustration + Autonomy)","Strongest alignment between sources. JTBD has 10 pain points — the most of any step. Canvas maps 5 opps across Phases 4-5. JTBD CSV adds Awareness of POS issues (XL) and Emergency support — both critical. Canvas O4 (Submerchant onboarding) bridges to Journey B."
"— Journey B (Submerchant/AfP)","— Not in JTBD journey map —","B1-B5 (Submerchant Onboarding)","B1.a Platform Orders Hardware; B1.b Define Packaging & Branding; B2.a Preboard at Warehouse; B2.b Insert Activation Guide; B3.a Dropship to Submerchant; B3.b Submerchant Receives Package; B4.a Unbox Terminal ★; B4.b Connect Wi-Fi & Passcode ★; B4.c First Boot & Updates ★; B4.d First Test Transaction ★; B5.a Day-to-day Use; B5.b Replacement Cycle","—","—","—","O4 (Submerchant onboarding — 6 steps); O8 (Supply chain & packaging — 3 steps)","—","CRITICAL GAP: Entire submerchant journey (12 steps) has no JTBD counterpart. 4 steps marked as highest leverage (B4.a-B4.d). Evidence: Tide 200 tickets/month from passcode alone; Munu confusing updates → failed onboardings; Fresha 4h/day preboarding. This journey needs its own JTBD row with Big/Little/Micro jobs."
